City_ID,Weather City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
0,douentza,ML,1587251998,15,-2.95,91,21,84.24,2.21
1,boca do acre,IT,1587251998,45.68,8.41,61,76,57,0.25
2,flinders,AU,1587251998,-34.58,150.86,49,65,64,7
3,akureyri,IS,1587251998,65.68,-18.09,75,70,46.4,34.45
4,yarada,IN,1587251998,17.65,83.27,0,80,80.85,11.34
5,kavieng,PG,1587251837,-2.57,150.8,93,74,82.99,4.9
6,hamilton,US,1587251881,39.18,-84.53,1,40,54,9.17
7,carnarvon,AU,1587251999,-24.87,113.63,72,88,71.6,8.05
8,manokwari,ID,1587251999,-0.87,134.08,96,65,85.03,1.99
9,mataura,NZ,1587251999,-46.19,168.86,80,74,53.01,10
10,upernavik,GL,1587251999,72.79,-56.15,99,90,22.95,14.5
11,urumqi,CN,1587251999,43.8,87.6,63,58,53.6,4.47
12,busselton,AU,1587251999,-33.65,115.33,95,98,61,22.03
13,shar,KZ,1587251999,49.59,81.05,1,58,46.45,1.97
14,codrington,AU,1587252000,-38.27,141.97,53,72,56.52,10.31
15,rikitea,PF,1587252000,-23.12,-134.97,42,70,77.41,5.93
16,punta arenas,PH,1587252000,8.99,125.34,96,80,79.09,4.32
17,tuatapere,NZ,1587251838,-46.13,167.68,47,74,53.01,10
19,sur,OM,1587252000,22.57,59.53,19,55,81.27,8.14
20,beni suef,CD,1587252000,0.5,29.47,100,71,64.44,1.99
21,komsomolskiy,UZ,1587252001,40.43,71.72,4,58,55.4,6.93
22,lagos,NG,1587251730,6.58,3.75,40,83,84.2,4.7
23,tefe,BR,1587252001,-3.35,-64.71,92,95,75.65,0.76
24,mahebourg,MU,1587252001,-20.41,57.7,40,83,77,11.41
25,coihaique,CL,1587252001,-45.58,-72.07,90,93,44.6,5.82
26,vaini,TO,1587252001,-21.2,-175.2,40,74,80.6,12.75
27,ponta do sol,PT,1587252001,38.73,-28.27,100,84,58.77,14.83
28,burns lake,US,1587252001,43.59,-119.05,1,14,66.2,11.41
29,itoman,JP,1587252002,26.12,127.67,75,83,77,11.41
30,ushuaia,AR,1587252002,-54.8,-68.3,40,61,48.2,11.41
31,cabral,DO,1587252002,18.25,-71.22,13,67,78.04,4.09
32,lorengau,PG,1587252002,-2.02,147.27,10,69,84.83,2.62
33,georgetown,MY,1587252002,5.41,100.34,40,94,80.6,3.36
34,sao felix do xingu,IN,1587252002,20.51,76.21,30,25,81.41,3.51
35,cape town,CL,1587252002,-36.41,-71.9,20,68,69.8,6.93
36,zakupne,UA,1587252002,49.12,26.34,74,34,41,4.99
37,haines junction,US,1587252003,59.23,-135.44,1,50,55.4,8.05
38,port elizabeth,CD,1587252003,-7.03,29.76,98,60,73.72,3.42
39,litoral del san juan,BR,1587252003,-30.01,-50.16,0,81,68.05,13.65
40,kapaa,US,1587251833,22.08,-159.32,1,65,80.6,5.82
41,novaya igirma,RU,1587252003,55.92,38.33,79,89,35.6,4.47
42,muravlenko,RU,1587252003,63.79,74.52,100,88,40.12,17.65
43,albany,US,1587252003,42.6,-73.97,76,51,46,1.01
44,olinda,BR,1587252004,-8.01,-34.86,40,74,84.2,4.7
45,roald,NO,1587252004,62.58,6.13,7,93,41,9.17
46,ndioum,SN,1587252004,16.51,-14.65,29,53,75.2,6.93
47,bredasdorp,ZA,1587252004,-34.53,20.04,55,87,50,2.24
48,sacalum,MX,1587252004,20.48,-89.58,20,24,102.2,18.34
49,east london,IS,1587252004,65,-15,75,70,46.4,12.75
50,iqaluit,CA,1587252004,63.75,-68.51,20,71,3.2,6.93
51,nabire,ID,1587252069,-3.37,135.48,100,89,76.84,5.5
52,ancud,CL,1587251867,-41.87,-73.82,40,93,55.4,8.05
53,tura,IN,1587252070,25.52,90.22,12,79,65.77,1.36
54,honiara,SB,1587252070,-9.43,159.95,40,74,86,3.36
55,alpena,US,1587252070,45.06,-83.43,75,26,57.2,13.87
56,key west,US,1587252070,32.73,-101.8,90,46,75,16.11
57,hobart,AU,1587252070,-42.88,147.33,75,76,51.01,8.05
58,ojinaga,MX,1587252070,29.57,-104.42,1,9,93.2,10.29
59,zelenoborsk,RU,1587252071,61.47,64.03,93,91,35.55,10.8
60,xichang,CN,1587252071,27.9,102.26,16,37,62.85,1.14
61,kirando,TZ,1587252071,-7.42,30.6,94,60,74.43,10.38
62,port alfred,CD,1587252003,-7.03,29.76,98,60,73.72,3.42
63,barrow,US,1587251849,71.29,-156.79,1,71,6.8,11.41
64,puerto ayora,ES,1587252071,36.59,-6.23,42,82,62.6,8.05
65,trinidad,BO,1587252071,-14.83,-64.9,0,57,78.8,4.7
66,kamenka,RU,1587252071,51.32,42.77,0,83,36,1.01
67,nemuro,JP,1587252072,43.32,145.57,100,79,40.03,9.22
68,flin flon,FR,1587252072,48.5,6.66,36,93,51.8,2.24
69,nikolskoye,RU,1587252072,59.7,30.79,90,92,36,8.95
70,amberley,US,1587252072,39.2,-84.43,1,40,55,9.17
71,kirakira,SB,1587251856,-10.45,161.92,99,67,85.03,1.3
72,port lincoln,CD,1587252072,-7.03,29.76,98,60,73.72,3.42
73,chokurdakh,RU,1587252072,70.63,147.92,100,89,0.03,10.31
74,hobyo,SO,1587251873,5.35,48.53,89,74,83.7,10.13
75,exaplatanos,GR,1587252073,40.98,22.12,24,68,57.99,1.59
76,yellowknife,CA,1587252073,62.46,-114.35,90,86,26.6,10.29
77,asifabad,IN,1587252073,19.37,79.28,0,39,81.48,4.18
78,kabinda,CD,1587252073,-6.13,24.48,100,76,69.3,5.75
79,alyangula,AU,1587252073,-13.85,136.42,54,79,84.2,3.36
80,chongwe,ZM,1587252074,-15.33,28.68,22,88,62.6,3.36
81,uruguaiana,BR,1587252074,-29.75,-57.09,0,68,68,4.7
82,mandalgovi,MN,1587252074,45.76,106.27,60,49,30.34,28.92
83,port-de-bouc,FR,1587252074,43.4,4.98,97,87,59,5.82
84,harper,LR,1587251821,4.38,-7.72,100,84,80.13,9.17
85,constitucion,CL,1587252074,-35.33,-72.42,76,91,59.74,10
86,yokadouma,CM,1587252074,3.52,15.05,98,83,70.86,2.55
87,airai,TL,1587252074,-8.93,125.41,59,48,68.59,3.67
88,olkhovatka,RU,1587252075,50.28,39.29,18,73,37.35,4.52
90,lompoc,US,1587252075,34.64,-120.46,90,62,59,10.29
91,bluff,NZ,1587251973,-46.6,168.33,100,74,53.01,10
92,fortuna,US,1587252075,40.6,-124.16,90,76,57.99,4.7
93,mana,GF,1587252075,5.66,-53.78,80,87,78.55,7.87
94,pochutla,MX,1587252076,15.74,-96.47,20,66,87.01,17.22
95,hilo,US,1587252000,19.73,-155.09,20,58,82.4,11.41
96,mys shmidta,RU,1587252076,62.06,48.62,100,91,33.58,3.02
97,northam,GB,1587252076,51.03,-4.22,48,94,52,1.01
98,jamestown,US,1587252076,42.1,-79.24,1,41,46,10.29
99,langham,CA,1587252076,52.37,-106.97,40,55,35.6,13.87
100,bethel,US,1587252076,41.37,-73.41,73,84,41,5.86
101,pag,HR,1587252141,44.45,15.06,100,87,50,2.77
102,acarau,BR,1587251954,-2.89,-40.12,40,85,77,1.03
103,haicheng,CN,1587252067,40.85,122.75,100,39,58.82,4.9
104,nokaneng,BW,1587252142,-19.67,22.27,61,40,71.98,3.71
105,ishinomaki,JP,1587252142,38.42,141.3,75,66,50,23.04
106,qaanaaq,GL,1587252142,77.48,-69.36,100,88,21.69,19.26
107,grand river south east,US,1587252142,38.88,-109.5,40,22,66.2,16.11
108,guerrero negro,MX,1587252142,17.67,-100,37,25,86.07,3.83
109,lebu,CL,1587252142,-37.62,-73.65,51,91,54.84,2.13
110,atuona,PF,1587252143,-9.8,-139.03,95,75,82,17.6
111,santa marta,PH,1587252143,17.49,120.43,90,61,85.17,1.66
112,saint-augustin,CA,1587251872,51.23,-58.65,33,92,24.73,13.33
113,new norfolk,LR,1587252068,6.65,-10.59,75,94,78.8,3.15
